word,grade,set (week),definition,sentence
page,1,26,one side of a sheet in a book,Turn to the next page.
race,1,26,a contest to see who can move fastest,We ran a race at recess.
tape,1,26,a long sticky strip used to hold things together,Use tape to fix the paper.
name,1,26,"a word used to identify a person, place, or thing",Write your name on the paper.
shake,1,26,to move quickly back and forth,Shake the bottle before you open it.
tame,1,26,not wild and used to being around people,The tame rabbit ate from my hand.
animal,1,26,a living thing that can move and needs food,A dog is an animal.
way,1,27,"a method, direction, or path",This is the way to the playground.
pay,1,27,to give money for something,We pay for food at the store.
stay,1,27,to remain in one place,Please stay with the group.
clay,1,27,soft earth that can be shaped when wet,We made a bowl from clay.
play,1,27,to do something for fun,The children play at recess.
tray,1,27,a flat container used to carry things,Put the cups on the tray.
roots,1,27,parts of a plant that grow underground and take in water,The tree's roots spread under the soil.
tree,1,27,a tall plant with a trunk and branches,A bird built a nest in the tree.
nice,1,28,"kind, pleasant, or enjoyable",It was nice of you to help.
drive,1,28,to control and move a car or other vehicle,Dad will drive us to school.
mine,1,28,belonging to me,The blue backpack is mine.
wise,1,28,showing good judgment and understanding,The wise owl listened carefully.
dime,1,28,a U.S. coin worth ten cents,I found a dime in my pocket.
five,1,28,the number 5,There are five apples in the bowl.
lime,1,28,a small green citrus fruit with a sour taste,We squeezed lime into the water.
nest,1,28,a home built by a bird or some other animals,The robin sat in its nest.
dry,1,29,not wet,The towel is dry now.
cry,1,29,"to make tears when sad, hurt, or upset",The baby began to cry.
sky,1,29,the space we see above Earth,Clouds filled the sky.
shy,1,29,nervous or quiet around other people,The shy child gave a small wave.
spy,1,29,a person who secretly gathers information,The story was about a clever spy.
try,1,29,to make an effort to do something,Try to solve the puzzle.
light,1,29,brightness that lets us see,The lamp gives us light.
soil,1,29,the top layer of earth where plants grow,The seed grew in the soil.
nose,1,30,the part of the face used for smelling and breathing,My nose felt cold outside.
bone,1,30,a hard part inside the body that supports it,The dog chewed a toy bone.
code,1,30,"a system of symbols, letters, or rules used to send information",We used a simple code to write a secret note.
spoke,1,30,said something in the past,She spoke clearly to the class.
hole,1,30,an empty opening or space in something,The rabbit went into a hole.
note,1,30,a short written message,I left a note for Mom.
weather,1,30,"what the air and sky are like outside, such as rain or sunshine",The weather is warm today.
rose,1,30,a flowering plant that often has thorns,A red rose grew by the fence.
low,1,31,not high or close to the ground,The bird flew low over the field.
snow,1,31,soft white ice crystals that fall from clouds,We played in the snow.
grow,1,31,to become bigger or develop,Plants grow toward the light.
flow,1,31,to move smoothly like a liquid,Water can flow down a hill.
show,1,31,to let someone see something,Show me your drawing.
blow,1,31,to move air or be moved by air,The wind will blow the leaves.
above,1,31,in a higher place than something else,The clock hangs above the door.
below,1,31,in a lower place than something else,The shoes are below the shelf.
coat,1,32,a piece of clothing worn over other clothes,Put on your coat before you go outside.
boat,1,32,a small vessel used to travel on water,The boat moved across the lake.
float,1,32,to stay on top of a liquid without sinking,A leaf can float on water.
soak,1,32,to make or become very wet,Soak the sponge in water.
load,1,32,"an amount carried by a person, animal, or vehicle",The truck carried a heavy load.
soap,1,32,a substance used with water for washing,Wash your hands with soap.
stop,1,32,to end movement or an action,Stop at the red light.
trip,1,32,a journey to another place,We took a trip to the zoo.
hook,1,33,a curved object used to catch or hold something,Hang your coat on the hook.
took,1,33,"carried, received, or moved something in the past",I took my lunch to school.
good,1,33,"right, useful, pleasant, or well done",You did a good job.
stood,1,33,was standing upright,We stood in a line.
wood,1,33,the hard material that makes up a tree's trunk and branches,The table is made of wood.
foot,1,33,the body part at the end of the leg,My left foot is wet.
gas,1,33,a substance like air that spreads to fill a space,Air is a mixture of gases.
heat,1,33,warmth or high temperature,The sun gives us heat.
cow,1,34,a large farm animal that can give milk,The cow ate grass in the field.
plow,1,34,"a tool used to turn over soil, or to use that tool",The farmer used a plow in the field.
brown,1,34,a color like chocolate or soil,The bear has brown fur.
town,1,34,a place where people live that is smaller than a city,Our town has a library.
clown,1,34,a performer who wears funny clothes and tries to make people laugh,The clown made the children laugh.
tower,1,34,"a tall, narrow building or structure",We saw a tall tower downtown.
sure,1,34,certain or confident that something is true,I am sure I packed my lunch.
vote,1,34,to choose a person or idea by giving your choice,We will vote for our class game.
moon,1,35,the round object that travels around Earth,The moon looked bright tonight.
spoon,1,35,a tool with a small bowl-shaped end used for eating or stirring,I ate soup with a spoon.
tooth,1,35,one of the hard white parts in the mouth used for biting and chewing,Brush every tooth carefully.
broom,1,35,a tool with stiff fibers used for sweeping,Use the broom to sweep the floor.
roof,1,35,the top covering of a building,Rain fell on the roof.
pool,1,35,a small body of water or a place made for swimming,We swam in the pool.
huge,1,35,very large,We saw a huge elephant.
ice,1,35,frozen water,The ice melted in the sun.
deep,1,36,going far down from the top or surface,The lake is very deep.
feel,1,36,to notice something by touch or emotion,I feel warm in the sun.
green,1,36,the color of grass and many leaves,The frog is green.
seed,1,36,the small part of a plant that can grow into a new plant,We planted a seed in the soil.
need,1,36,to require something because it is important or necessary,Plants need water and light.
free,1,36,"not trapped, controlled, or costing money",The bird flew free from the cage.
grass,1,36,a common green plant with thin leaves that covers many lawns and fields,The grass was wet with dew.
summer,1,36,the warm season between spring and fall,We swim outside in summer.
over,2,1,above or across something,The bird flew over the house.
new,2,1,"recently made, found, or learned",I have a new pencil.
art,2,1,"creative work such as drawing, painting, or sculpture",We made art with paper and paint.
take,2,1,to carry or move something with you,Please take your book to class.
only,2,1,and no more; just,I have only one cookie left.
car,2,1,a road vehicle with four wheels,The car stopped at the red light.
park,2,1,an outdoor public place for play or relaxation,We played at the park after lunch.
hard,2,1,"difficult, firm, or not easy to bend",The math problem was hard.
barn,2,1,"a farm building used for animals, hay, or equipment",The horses slept in the barn.
card,2,1,"a small piece of stiff paper used for messages, games, or information",I made a birthday card for my friend.
shark,2,1,a large fish with a skeleton made of cartilage and rows of sharp teeth,A shark swam through the ocean.
dark,2,1,having little or no light,The room became dark when the lights went out.
oh,2,1,"a word used to show surprise, understanding, or another feeling","Oh, I see what you mean!"
eyes,2,1,the body parts used for seeing,We use our eyes to see.
date,2,1,a particular day of the month or year,We wrote the date at the top of the page.
hold,2,1,to keep something in your hands or in a certain place,Please hold the rope tightly.
little,2,2,small in size or amount,A little bird sat on the fence.
work,2,2,to do a job or task,We work together on the project.
know,2,2,to understand or be aware of something,I know the answer to the question.
place,2,2,a location or area,This is a quiet place to read.
years,2,2,periods of about 365 days,The tree grew taller over several years.
rain,2,2,water that falls from clouds in drops,The rain made puddles on the sidewalk.
mail,2,2,letters and packages sent from one place to another,The mail arrived this afternoon.
wait,2,2,to stay until something happens or someone arrives,We wait for the bus each morning.
paint,2,2,a colored liquid used to cover or decorate a surface,We used blue paint for the poster.
chant,2,2,words or sounds repeated in a steady rhythm,The team began a short chant.
paid,2,2,gave money for something; past form of pay,We paid for the tickets at the door.
sail,2,2,to travel on water in a boat or ship,We watched the boat sail across the lake.
goods,2,2,things that are made or sold,The store sells many kinds of goods.
services,2,2,work done to help or serve other people,The town provides useful services.
consumer,2,2,a person who buys or uses goods and services,A shopper is a consumer.
producer,2,2,a person or company that makes or creates something,A farmer is a producer of food.
live,2,3,to have your home in a place,I live near the school.
me,2,3,"the person speaking, used as the object of a verb",Please give the book to me.
cool,2,3,slightly cold or not warm,The evening air felt cool.
give,2,3,to hand or provide something to someone,Please give the pencil to Mia.
most,2,3,the greatest number or amount,Most of the class finished the puzzle.
saw,2,3,past tense of see,I saw a rainbow after the rain.
law,2,3,an official rule that people must follow,The law says drivers must stop at a red light.
raw,2,3,not cooked,Do not eat the raw dough.
jar,2,3,a glass or plastic container with a wide opening and lid,The jam is in a glass jar.
straw,2,3,a thin tube used for drinking,I drank the juice through a straw.
draw,2,3,"to make a picture with a pencil, pen, or similar tool",I like to draw animals.
country,2,3,a nation with its own land and government,Canada is a country.
ocean,2,3,a very large body of salt water,The whale lives in the ocean.
title,2,3,"the name of a book, story, movie, or other work",The title of the book is printed on the cover.
skip,2,3,to move with a light step and hop,The children skip across the playground.
change,2,3,to make or become different,Leaves change color in the fall.
very,2,4,to a high degree,The water was very cold.
after,2,4,later than something in time,We played outside after lunch.
things,2,4,"objects, ideas, events, or other items",We packed our things for the trip.
our,2,4,belonging to us,Our class planted a small garden.
just,2,4,only or exactly,I need just one more minute.
girl,2,4,a female child or young person,The girl carried a red backpack.
dirt,2,4,loose soil or earth,The puppy tracked dirt onto the floor.
shirt,2,4,clothing worn on the upper body,He wore a blue shirt.
third,2,4,"one of three equal parts, or number three in order",She finished third in the race.
thirst,2,4,the feeling that you need a drink,Playing outside made me feel thirst.
birth,2,4,the time when a baby is born,The family celebrated the baby's birth.
yellow,2,4,the color of lemons and sunshine,The yellow flower grew by the fence.
add,2,4,to put numbers or things together to find a total,We add two and three to get five.
got,2,4,past tense of get; received or obtained something,He got a new library book.
life,2,4,the state of being alive,Plants need water to support life.
cycle,2,4,a set of events that repeats in the same order,We learned about the water cycle.
pole,2,5,"a long, thin piece of wood or metal",The flag hung from a tall pole.
wire,2,5,a thin strand of metal that can carry electricity or hold things,The lamp has a wire that connects to the plug.
fight,2,5,to struggle or use force against someone or something,The heroes fight to protect their town.
seen,2,5,a form of see meaning noticed with the eyes,I have seen that bird before.
eat,2,5,to take food into your mouth and swallow it,We eat lunch at noon.
right,2,5,correct or true,You chose the right answer.
might,2,5,used to say that something is possible,It might rain after school.
sight,2,5,"the ability to see, or something that is seen",The rainbow was a beautiful sight.
tight,2,5,fitting closely or held firmly,The lid was too tight to open.
flight,2,5,"a trip through the air, especially in an airplane",Our flight landed in the afternoon.
bright,2,5,giving off or reflecting a lot of light,The bright sun lit the room.
lost,2,5,unable to find something or no longer knowing where you are,I found the pencil I had lost.
far,2,5,a long distance away,The mountains are far from our town.
push,2,5,to press against something to move it away,Push the door gently to open it.
pull,2,5,to use force to bring something toward you,Pull the wagon along the path.
resource,2,5,something useful that helps meet a need,A dictionary is a useful resource.
say,2,6,to speak words,Please say your name clearly.
great,2,6,very good or large in importance,We had a great day at the museum.
four,2,6,the number 4,There are four chairs at the table.
help,2,6,to make something easier for someone,I help my brother with his homework.
through,2,6,from one side or end to the other,We walked through the tunnel.
gold,2,6,a valuable yellow metal,The ring was made of gold.
cold,2,6,having a low temperature,The water felt cold.
fold,2,6,to bend something over onto itself,Fold the paper in half.
mold,2,6,a fuzzy growth that can appear on old or damp food,We threw away the bread with mold on it.
sold,2,6,gave something to a buyer for money; past form of sell,The store sold all the apples.
told,2,6,gave information in words; past form of tell,She told me the answer.
subtract,2,6,to take one number away from another,We subtract two from five to get three.
answer,2,6,a response to a question,She knew the answer to the math problem.
baby,2,6,a very young child,The baby smiled at her mother.
parent,2,6,a mother or father,A parent came to pick up the child.
stages,2,6,steps or periods in a process,A butterfly has several stages in its life cycle.
late,2,7,after the expected or usual time,The bus was late this morning.
before,2,7,earlier than something in time,Wash your hands before dinner.
line,2,7,people or things arranged one after another,We stood in a line for lunch.
side,2,7,one part or edge of something,Write your name on the other side of the paper.
too,2,7,"also, or more than needed",I want to come too.
loud,2,7,making a lot of sound,The drum was loud.
round,2,7,shaped like a circle or ball,The plate is round.
found,2,7,discovered or located; past form of find,I found my missing sock.
shout,2,7,to speak or call very loudly,Do not shout in the library.
count,2,7,to say numbers in order to find how many there are,Count the blocks in the box.
gave,2,7,past tense of give; handed or provided something,She gave her friend a pencil.
urban,2,7,related to a city,An urban area has many buildings and streets.
suburban,2,7,related to an area near a city with many homes,They live in a suburban neighborhood.
rural,2,7,related to the countryside or farming areas,The rural road passed several farms.
community,2,7,a group of people who live or work in the same area,Our community has a public library.
touch,2,7,to put your hand or another body part against something,Please do not touch the wet paint.
means,2,8,ways or methods of doing something,Walking is one means of getting to school.
old,2,8,having existed or lived for a long time,The old tree has a wide trunk.
any,2,8,"one, some, or all, no matter which",Do you have any questions?
same,2,8,not different; exactly alike in some way,We chose the same color.
corn,2,8,"a tall plant that grows kernels on ears, or the kernels themselves",We ate corn with dinner.
blue,2,8,the color of a clear daytime sky,She used a blue crayon.
true,2,8,correct or matching the facts,The statement is true.
clue,2,8,a piece of information that helps solve a problem or mystery,The detective found a clue.
glue,2,8,a sticky substance used to join things together,We used glue to attach the paper.
due,2,8,expected or required at a certain time,The homework is due Friday.
argue,2,8,"to give reasons for or against an idea, or to disagree",The students argue their ideas politely.
listen,2,8,to pay attention to sounds,Please listen to the directions.
song,2,8,a piece of music with words meant to be sung,We sang a cheerful song.
cause,2,8,something that makes another thing happen,Heavy rain was the cause of the flood.
speak,2,8,to say words or talk,Please speak clearly.
kind,2,8,a type or group of similar things,What kind of fruit do you like?
boy,2,9,a male child or young person,The boy rode his bike.
soon,2,9,in a short time,The movie will begin soon.
came,2,9,moved toward or arrived somewhere; past form of come,She came home after school.
want,2,9,to wish for or desire something,I want to read that book.
eggs,2,9,more than one egg,The bird laid two eggs.
nurse,2,9,a trained person who cares for sick or injured people,The nurse checked his temperature.
curve,2,9,a line that bends smoothly instead of staying straight,Draw a curve across the page.
turn,2,9,to change direction or move around,Turn left at the corner.
burn,2,9,"to be damaged by heat or fire, or to cause this damage",Be careful not to burn your hand.
curl,2,9,a curved or spiral shape,A curl of ribbon decorated the gift.
purse,2,9,a small bag used to carry money and personal items,She put her keys in her purse.
growth,2,9,the process of getting bigger or developing,The plant's growth was easy to measure.
affect,2,9,to cause a change in something,Rain can affect our outdoor plans.
fish,2,9,an animal that lives in water and breathes through gills,The fish swam around the pond.
mammal,2,9,an animal that has hair or fur and feeds milk to its young,A dog is a mammal.
fruit,2,9,the part of a plant that contains seeds and is often eaten,An apple is a fruit.
also,2,10,in addition; too,She also brought a notebook.
beat,2,10,"to hit repeatedly, or to have a steady rhythm",We heard the drum beat.
seat,2,10,a place where someone sits,I found a seat near the window.
three,2,10,the number 3,There are three apples in the bowl.
small,2,10,little in size or amount,The small box fit in my backpack.
mean,2,10,unkind or not nice,It is mean to tease someone.
clean,2,10,"free from dirt, or to remove dirt",Please clean your desk.
peak,2,10,the highest point of a mountain or other thing,Snow covered the mountain peak.
dream,2,10,thoughts and images that happen in the mind during sleep,I had a funny dream last night.
beach,2,10,"a sandy or rocky area beside an ocean, lake, or river",We built a sandcastle on the beach.
team,2,10,a group of people working or playing together,Our team practiced after school.
length,2,10,how long something is from one end to the other,We measured the length of the table.
weight,2,10,how heavy something is,The scale shows the weight of the box.
height,2,10,how tall something is,We measured the height of the plant.
meat,2,10,animal flesh used as food,The sandwich had meat and cheese.
distance,2,10,the amount of space between two places or things,We measured the distance between the cones.
wear,2,11,to have clothing or an item on your body,I wear a coat when it is cold.
put,2,11,to place something somewhere,Put the book on the shelf.
end,2,11,the last part of something,We reached the end of the story.
does,2,11,"a form of do used with he, she, or it",She does her homework after dinner.
another,2,11,one more or a different one,May I have another piece of paper?
head,2,11,"the top part of the body containing the brain, eyes, ears, nose, and mouth",He wore a hat on his head.
bread,2,11,food baked from flour and other ingredients,We made toast from bread.
dead,2,11,no longer alive,The dead leaves fell from the tree.
sweat,2,11,water-like liquid made by the skin when the body gets hot,Sweat formed on his forehead after running.
citizen,2,11,a person who legally belongs to a country,A citizen can have rights and duties in a country.
spread,2,11,"to open, extend, or move over a wider area",Spread the blanket on the grass.
deal,2,11,an agreement or an act of buying or selling,They made a deal to trade books.
room,2,11,a part of a building enclosed by walls,We read in a quiet room.
break,2,11,to damage something so it separates or stops working,Be careful not to break the glass.
weather,2,11,"the outdoor conditions, such as temperature, wind, rain, or snow",The weather was sunny and warm.
soil,2,11,the top layer of earth where plants can grow,The seed was planted in soil.
well,2,12,in a good or successful way,She read the story well.
large,2,12,big in size or amount,A large box sat by the door.
cook,2,12,to prepare food using heat,We cook the vegetables in a pan.
sent,2,12,caused something to go to someone or somewhere; past form of send,I sent a letter to my cousin.
even,2,12,used to add something surprising or extra,Even the puppy stayed quiet.
grew,2,12,became bigger or developed; past form of grow,The plant grew taller.
stew,2,12,a meal of meat or vegetables cooked slowly in liquid,We ate warm stew for dinner.
drew,2,12,made a picture; past form of draw,She drew a picture of a tree.
chew,2,12,to crush food with your teeth before swallowing,Chew your food slowly.
few,2,12,a small number of people or things,Only a few cookies were left.
brew,2,12,to make a drink by soaking or boiling ingredients in water,We brew tea with hot water.
ever,2,12,at any time,Have you ever seen a whale?
unit,2,12,a single amount used for measuring or counting,A centimeter is a unit of length.
violet,2,12,"a purple-blue color, or a small flower of that color",She colored the flower violet.
color,2,12,the way something looks because of the light it reflects,Blue is my favorite color.
shape,2,12,the outline or form of something,A circle is a round shape.
step,2,13,"one movement made by lifting and placing a foot, or one part of a process",Take one step forward.
because,2,13,for the reason that,We went inside because it started to rain.
body,2,13,the physical parts that make up a person or animal,Exercise helps keep the body strong.
here,2,13,in this place,Please put your backpack here.
fall,2,13,to move downward without control,Leaves fall from the trees in autumn.
germ,2,13,a tiny living thing or virus that can cause disease,Washing your hands helps remove germs.
herd,2,13,a group of animals of the same kind living or moving together,A herd of cows crossed the field.
clerk,2,13,a person who helps customers or keeps records,The store clerk helped us find the item.
