Word,Category,Meaning,Related Words,Grade,Difficulty,Example Sentence,Set
Effect,Thinking & Reasoning,What happens because of a cause,result outcome,2,medium,The effect of the wind was a fallen branch.,7
Indent,Reading & Writing,The space at the beginning of a paragraph,paragraph spacing,2,medium,Writers indent the first line of a paragraph.,7
Paragraph,Reading & Writing,A group of related sentences about one topic,section writing,2,medium,Each paragraph in the report has one main idea.,7
Reason,Thinking & Reasoning,A cause or explanation for something,cause explanation,2,medium,My reason is that the evidence supports it.,7
Sentence,Reading & Writing,A group of words that expresses a complete thought,statement expression,1,easy,A sentence begins with a capital letter.,7
Summarize,Communication & Discussion,To briefly explain the main points,condense recap,4,hard,Lina will summarize the chapter in two sentences.,7
Summary,Reading & Writing,A short explanation of the most important points,recap overview,3,hard,The summary tells the most important parts.,7
Beginning,Sequence Words,The start of something,start opening,1,easy,At the beginning of the race everyone lined up.,8
Character,Reading & Writing,A person animal or creature in a story,figure role,1,easy,The main character in the story is a brave fox.,8
Earlier,Sequence Words,Happening before another time,before previously,2,medium,We ate lunch earlier than usual today.,8
Example,Thinking & Reasoning,Something that shows what an idea means,sample illustration,1,medium,This picture is an example of symmetry.,8
Fact,Thinking & Reasoning,Something that can be proven true,truth reality,2,medium,It is a fact that ice melts when it gets warm.,8
Finally,Sequence Words,At the end or conclusion,last conclude,2,medium,Finally the turtle reached the pond.,8
Opinion,Thinking & Reasoning,A belief or personal view,viewpoint belief,2,medium,My opinion is that mango is the best fruit.,8
Plot,Reading & Writing,The sequence of events in a story,storyline narrative,3,hard,The plot shows how the mystery is solved.,8
Problem,Thinking & Reasoning,A difficulty that needs to be solved,issue challenge,1,medium,The broken bridge created a problem for the hikers.,8
Setting,Reading & Writing,The time and place where a story happens,location background,2,medium,The setting of the tale is a snowy village.,8
Solution,Thinking & Reasoning,An answer to a problem,answer resolution,2,medium,The solution was to share the crayons.,8
Control,Scientific Thinking,The standard used for comparison in an experiment,baseline standard,5,hard,The control plant did not receive extra water.,9
Discover,Learning & Research,To find something new or previously unknown,find uncover,2,medium,Jayden was excited to discover a shell in the sand.,9
Edit,Instructional Language,To correct mistakes in writing,revise correct,3,hard,I edit my paragraph before I turn it in.,9
Experiment,Learning & Research,A test done to learn something,test investigation,3,hard,Our experiment tested which soil held more water.,9
Hypothesis,Learning & Research,An educated guess that can be tested,prediction theory,5,hard,Her hypothesis was that seeds grow faster in sunlight.,9
Improve,Progress & Learning,To become better,enhance develop,2,medium,Practice can help your handwriting improve.,9
Observation,Scientific Thinking,Information gathered by noticing carefully,notice evidence,4,hard,An observation can include color shape and size.,9
Observe,Learning & Research,To watch carefully and notice details,notice examine,2,medium,We observe the ants as they carry crumbs.,9
Revise,Instructional Language,To improve writing or work by making changes,edit improve,4,hard,I revise my draft after reading it aloud.,9
Study,Learning & Research,To spend time learning about a subject,learn examine,1,medium,Noah likes to study maps of the world.,9
Toward,Directional Language,In the direction of something,to approaching,2,medium,The dog ran toward its owner.,9
Beside,Directional Language,Next to something,next to near,1,easy,The lamp is beside the couch.,10
Detail,Reading & Writing,A piece of information that supports the main idea,information fact,2,medium,A small detail in the picture showed the season.,10
Elaborate,Communication & Discussion,To add more detail or explanation,expand explain,4,hard,Please elaborate so we understand your idea.,10
Evaluate,Learning & Research,To judge the quality or value of something,assess judge,5,hard,We evaluate the project using a checklist.,10
Evidence,Learning & Research,Information that helps prove something is true,proof support,3,hard,The footprint was evidence that a raccoon passed by.,10
Investigate,Learning & Research,To examine something carefully to find answers,explore research,4,hard,The class will investigate why the magnet sticks.,10
List,Instructional Language,To write items one after another,enumerate record,1,easy,Mia made a list of materials for the project.,10
Master,Progress & Learning,To become highly skilled at something,excel perfect,4,hard,It takes time to master a new song.,10
Operation,Mathematics,A mathematical process such as addition or multiplication,procedure calculation,3,hard,Addition is one kind of operation in math.,10
Progress,Progress & Learning,Forward movement toward a goal,improvement advancement,2,medium,Each finished page shows progress on the book.,10
Solve,Mathematics,To find the answer to a problem,answer calculate,Pre-K,easy,We solve the riddle by reading each clue.,31
Below,Directional Language,Lower than something else,under beneath,1,easy,The shoes are below the coat rack.,11
Clarify,Communication & Discussion,To make something easier to understand,explain simplify,4,hard,Please clarify what you mean by that word.,11
Describe,Learning & Research,To tell about something using details,explain portray,2,medium,Eli will describe the butterfly's wings.,11
Main Idea,Reading & Writing,The most important point of a text,central idea topic,3,hard,The main idea of the article is recycling.,11
Persuade,Communication & Discussion,To convince someone to think or act differently,convince influence,4,hard,The letter tries to persuade people to plant trees.,11
Record,Instructional Language,To write down information,document note,2,medium,We record the temperature every morning.,11
Relationship,Thinking & Reasoning,A connection between two or more things,association connection,4,hard,The relationship between bees and flowers helps both.,11
Research,Learning & Research,The process of gathering information to learn about a topic,investigation study,4,hard,Our research taught us about ocean animals.,11
Structure,Scientific Thinking,The way parts are arranged,organization framework,4,hard,The bridge has a strong structure.,11
System,Scientific Thinking,A group of connected parts working together,network organization,4,hard,The digestive system helps the body use food.,11
Through,Directional Language,Going from one side to the other,across pass,2,medium,The train went through the tunnel.,11
Accomplish,Progress & Learning,To successfully complete something,achieve complete,3,hard,Nina worked hard to accomplish her goal.,12
Ancient,Scientific Thinking,Very old and from a long time ago,old historic,3,hard,Ancient tools can teach us about early people.,12
Communicate,Communication & Discussion,To share information ideas or feelings,express convey,3,hard,We communicate with words pictures and gestures.,12
Data,Learning & Research,Facts and information collected for study,information facts,3,hard,The data showed that the plant grew taller.,12
Develop,Progress & Learning,To grow or improve over time,grow improve,3,hard,Seedlings develop roots before stems.,12
Estimate,Mathematics,A close guess based on available information,approximate predict,2,medium,My estimate was close to the actual number.,12
Growth,Progress & Learning,Improvement over time,development progress,3,hard,The plant's growth was taller each week.,12
Into,Directional Language,Moving from outside to inside,inside enter,1,easy,The kitten climbed into the box.,12
Justify,Thinking & Reasoning,To explain why something is correct or reasonable,defend support,5,hard,I justify my answer with evidence from the text.,12
Review,Progress & Learning,To look over something again,revisit examine,2,medium,We review yesterday's lesson before starting a new one.,12
Underline,Instructional Language,To draw a line beneath something,mark highlight,1,easy,Underline the title at the top of the page.,12
After,Directional Language,Happening later in time,next later,1,easy,After dinner we read a story.,13
Decimal,Mathematics,A number written using a decimal point,fraction value,4,hard,A decimal can show part of one whole.,13
Divide,Mathematics,To split into equal parts or groups,separate partition,3,hard,We divide the crackers into equal groups.,13
Effort,Progress & Learning,The work put into doing something,work attempt,2,medium,Ava's effort helped the team finish.,13
Environment,Scientific Thinking,The surroundings in which something lives,habitat surroundings,3,hard,A pond is an environment for frogs and insects.,13
Identify,Learning & Research,To recognize or name something,recognize determine,2,medium,The guide helped us identify the bird.,13
Measurement,Scientific Thinking,The process of determining size amount or quantity,measure quantify,2,medium,Measurement tells us how long the table is.,13
Predict,Learning & Research,To make a thoughtful guess about what will happen,forecast anticipate,2,medium,I predict the ice will melt in the sun.,13
Reflect,Progress & Learning,To think carefully about an experience,consider review,4,hard,After the trip we reflect on what we learned.,13
Support,Communication & Discussion,To provide reasons or evidence for an idea,justify defend,4,hard,Use a fact to support your answer.,13
Theory,Scientific Thinking,A well-supported explanation based on evidence,explanation model,5,hard,A theory explains why something may happen.,13
Adventure,Reading & Writing,An exciting or unusual experience,journey expedition,4,hard,The adventure took the hikers up a mountain.,14
Cheerful,Communication & Discussion,Happy and positive in mood,happy joyful,4,hard,A cheerful greeting can brighten the morning.,14
Curious,Learning & Research,Wanting to learn or know more about something,inquisitive interested,4,hard,Curious students ask thoughtful questions.,14
Depend,Thinking & Reasoning,To rely on someone or something,rely count on,4,hard,Plants depend on water and sunlight.,14
Enormous,Mathematics,Very large in size or amount,huge giant,4,hard,The enormous pumpkin filled the wagon.,14
Examine,Learning & Research,To look at something carefully and closely,inspect study,4,hard,We examine the rock with a magnifying glass.,14
Fragile,Scientific Thinking,Easy to break or damage,delicate brittle,4,hard,The fragile glass ornament needs careful hands.,14
Journey,Reading & Writing,Travel from one place to another,trip voyage,4,hard,Their journey across the state took two days.,14
Nervous,Communication & Discussion,Feeling worried or uneasy about something,anxious worried,4,hard,I felt nervous before the spelling bee.,14
Patient,Progress & Learning,Able to wait calmly without getting upset,calm tolerant,4,hard,A patient listener waits for the speaker to finish.,14
Protect,Scientific Thinking,To keep someone or something safe from harm,guard defend,4,hard,A helmet can protect your head.,14
Rescue,Progress & Learning,To save someone or something from danger,save help,4,hard,The lifeguard helped rescue the tired swimmer.,14
Valuable,Thinking & Reasoning,Worth a lot or very useful and important,precious important,4,hard,Clean water is a valuable resource.,14
Whisper,Communication & Discussion,To speak very softly using little breath,murmur hush,4,hard,Please whisper while the baby sleeps.,14
Achieve,Progress & Learning,To successfully reach a goal,accomplish attain,4,hard,Sofia worked hard to achieve her dream.,15
Brilliant,Thinking & Reasoning,Very bright or extremely smart,bright intelligent,4,hard,The brilliant star shone in the dark sky.,15
Concentrate,Progress & Learning,To focus attention on one thing,focus pay attention,4,hard,I concentrate better in a quiet room.,15
Confident,Progress & Learning,Feeling sure of yourself and your abilities,sure self-assured,4,hard,The confident speaker looked at the audience.,15
Cooperate,Communication & Discussion,To work together toward a shared goal,collaborate team up,4,hard,The partners cooperate to build the model.,15
Courage,Progress & Learning,The strength to do something even when it is hard or scary,bravery valor,4,hard,It takes courage to try again after a fall.,15
Create,Progress & Learning,To make something new,make invent,4,hard,Artists create pictures with many kinds of lines.,15
Determine,Learning & Research,To find out or decide something after thinking,decide figure out,4,hard,We determine the winner by counting the votes.,15
Eager,Progress & Learning,Very excited and ready to do something,enthusiastic excited,4,hard,The eager puppy waited by the door.,15
Explore,Learning & Research,To travel through or investigate an unfamiliar place or topic,discover investigate,4,hard,The explorers will explore the cave safely.,15
Generous,Communication & Discussion,Willing to give or share freely,giving kind,4,hard,A generous neighbor shared extra tomatoes.,15
Grateful,Communication & Discussion,Feeling thankful for something received,thankful appreciative,4,hard,I am grateful for my friend's help.,15
Inspire,Communication & Discussion,To fill someone with the desire to do something,motivate encourage,4,hard,A kind teacher can inspire students to keep trying.,15
Ordinary,Thinking & Reasoning,Normal or usual with nothing special,common regular,4,hard,An ordinary day became special when snow fell.,15
Responsibility,Progress & Learning,A duty or task you are expected to do,duty obligation,4,hard,Feeding the class fish is my responsibility.,15
Unique,Thinking & Reasoning,One of a kind unlike anything else,special distinct,4,hard,Each snowflake has a unique shape.,15
Balance,Scientific Thinking,A state where things are equal or stable,equilibrium harmony,4,hard,The gymnast kept her balance on the beam.,16
Climate,Scientific Thinking,The usual weather conditions in an area,weather atmosphere,4,hard,The desert climate is hot and dry.,16
Conservation,Scientific Thinking,The protection of natural resources and environments,preservation protection,4,hard,Conservation helps protect forests and rivers.,16
Drought,Scientific Thinking,A long period with little or no rain,dry spell shortage,4,hard,The drought made the field very dry.,16
Ecosystem,Scientific Thinking,All the living and nonliving things in an area that interact,habitat environment,4,hard,A forest ecosystem includes trees animals and soil.,16
Erosion,Scientific Thinking,The gradual wearing away of land or rock,wearing away weathering,4,hard,Rain and wind can cause erosion on a hillside.,16
Habitat,Scientific Thinking,The natural home of a plant or animal,environment home,4,hard,A pond is a habitat for frogs.,16
Migrate,Scientific Thinking,To move from one place to another especially seasonally,travel relocate,4,hard,Geese migrate south when winter comes.,16
Pollution,Scientific Thinking,Harmful substances that damage air water or land,contamination waste,4,hard,Pollution can make water unsafe for fish.,16
Predator,Scientific Thinking,An animal that hunts other animals for food,hunter carnivore,4,hard,A hawk is a predator that hunts mice.,16
Prey,Scientific Thinking,An animal that is hunted by another for food,target victim,4,hard,A mouse can be prey for an owl.,16
Renewable,Scientific Thinking,Able to be replaced or restored naturally over time,sustainable replenishable,4,hard,Sunlight is a renewable source of energy.,16
Resource,Scientific Thinking,Something useful that can be used to meet a need,supply material,4,hard,A library book is a helpful resource for research.,16
Shelter,Scientific Thinking,A place that protects from weather or danger,cover refuge,4,hard,The cave gave the hikers shelter from rain.,16
Survival,Scientific Thinking,Continuing to live especially in difficult conditions,endurance persistence,4,hard,Survival in the desert requires water.,16
Vegetation,Scientific Thinking,Plants that grow in a particular area,plants greenery,4,hard,Thick vegetation grew beside the trail.,16
Citizen,Thinking & Reasoning,A person who belongs to a country or community,resident member,4,hard,A citizen can help keep a town clean.,17
Community,Thinking & Reasoning,A group of people living or working together,neighborhood group,4,hard,Our community planted flowers by the school.,17
Contribute,Communication & Discussion,To give or add something to help a group,donate add,4,hard,Each family will contribute food for the picnic.,17
Cooperation,Communication & Discussion,Working together to achieve something,teamwork collaboration,4,hard,Cooperation helped the group finish the mural.,17
Democracy,Thinking & Reasoning,A system where people choose leaders by voting,self-government republic,4,hard,In a democracy people vote for leaders.,17
Election,Thinking & Reasoning,A process where people vote to choose leaders,vote ballot,4,hard,The election results were announced after lunch.,17
Equality,Thinking & Reasoning,The state of being treated the same and having equal rights,fairness sameness,4,hard,Equality means each student gets a fair chance.,17
Fairness,Thinking & Reasoning,Treating people in a just and equal way,justice equity,4,hard,Fairness matters when we share supplies.,17
Government,Thinking & Reasoning,The group of people who make and enforce laws for a country,leadership authority,4,hard,The government builds roads and runs public services.,17
Justice,Thinking & Reasoning,Fair treatment according to what is right,fairness law,4,hard,The judge worked for justice in the case.,17
Law,Thinking & Reasoning,A rule made by a government that people must follow,rule regulation,4,hard,A law says drivers must stop at red lights.,17
Leadership,Progress & Learning,The ability to guide or influence others,guidance direction,4,hard,Leadership means guiding others with care.,17
Participate,Communication & Discussion,To take part in an activity or event,join take part,4,hard,Everyone can participate in the cleanup.,17
Represent,Communication & Discussion,To speak or act on behalf of others,stand for symbolize,4,hard,The flag can represent our country.,17
Respect,Communication & Discussion,To show care and consideration for someone or something,honor admire,4,hard,We show respect by listening quietly.,17
Rights,Thinking & Reasoning,Freedoms and protections that belong to every person,freedoms privileges,4,hard,Children have rights that protect them.,17
Service,Communication & Discussion,Work done to help others or a community,help assistance,4,hard,The food drive was a service to the community.,17
Volunteer,Communication & Discussion,To offer to help without being paid,help serve,4,hard,Liam will volunteer at the animal shelter.,17
Frustrated,Feelings & Emotions,Feeling upset because something is hard or not working,annoyed stuck,Pre-K,medium,I felt frustrated when the blocks kept falling.,18
Disappointed,Feelings & Emotions,Feeling sad because something did not happen the way you hoped,let down sad,Pre-K,medium,Mara was disappointed when the game was canceled.,18
Worried,Feelings & Emotions,Feeling nervous because something might go wrong,nervous concerned,Pre-K,medium,Dad felt worried during the storm.,18
Proud,Feelings & Emotions,Feeling good because you did something well,pleased accomplished,Pre-K,medium,I felt proud after tying my shoes.,18
Patient,Feelings & Emotions,Able to wait calmly,calm waiting,Pre-K,medium,A patient child waits calmly for a turn.,18
Curious,Feelings & Emotions,Wanting to know more about something,interested wondering,Pre-K,medium,The curious child looked under the leaf.,18
Gentle,Feelings & Emotions,Using soft and careful actions,soft careful,Pre-K,medium,Use gentle hands with the tiny kitten.,18
Careful,Feelings & Emotions,Doing something with attention so you do not make a mistake or hurt something,cautious thoughtful,Pre-K,medium,Be careful when you carry the water cup.,18
Calm,Feelings & Emotions,Feeling peaceful and not upset,peaceful relaxed,Pre-K,medium,A calm voice can help a friend feel better.,18
Brave,Feelings & Emotions,Trying even when something feels scary,courageous bold,Pre-K,medium,The brave child tried the tall slide.,18
Notice,Learning & Research,To see or hear something carefully,observe spot,Pre-K,medium,I notice the bird singing in the tree.,19
Wonder,Learning & Research,To think about a question or mystery,question think,Pre-K,medium,I wonder where the squirrel hides food.,19
Explore,Learning & Research,To look around and learn about something new,discover investigate,Pre-K,medium,Toddlers explore the garden with their teacher.,19
Try,Progress & Learning,To make an effort to do something,attempt effort,Pre-K,medium,I will try to zip my coat by myself.,19
Practice,Progress & Learning,To do something again and again to get better,rehearse repeat,Pre-K,medium,We practice counting with blocks.,19
Focus,Progress & Learning,To pay attention to one thing,concentrate attend,Pre-K,medium,Focus on the page while you read.,19
Attempt,Progress & Learning,To try to do something,try effort,K,medium,I will attempt the puzzle one more time.,19
Effort,Progress & Learning,The hard work you put into something,work trying,K,medium,Your effort shows when you keep trying.,19
Improve,Progress & Learning,To get better at something,get better grow,K,medium,My drawing will improve if I slow down.,19
Challenge,Progress & Learning,Something hard that you can try to do,difficult task,K,medium,The tall tower was a fun challenge.,19
Cooperate,Communication & Discussion,To work together with others,team up help,K,medium,Friends cooperate when they clean up together.,20
Include,Communication & Discussion,To let someone join or be part of the group,invite welcome,K,medium,Please include Mia in the game.,20
Apologize,Communication & Discussion,To say you are sorry and mean it,say sorry make amends,K,medium,I apologize when I hurt someone's feelings.,20
Forgive,Communication & Discussion,To stop being angry after someone says sorry,pardon let go,K,medium,It can feel good to forgive a friend.,20
Interrupt,Communication & Discussion,To speak or act while someone else is talking or working,cut in disturb,K,medium,Please do not interrupt while I am speaking.,20
Encourage,Communication & Discussion,To help someone feel brave or ready to try,support cheer,K,medium,A smile can encourage someone to try again.,20
Compliment,Communication & Discussion,Kind words that tell someone what they did well,praise kind words,K,medium,The teacher gave a compliment about neat writing.,20
Request,Communication & Discussion,To ask for something politely,ask politely,K,medium,I request help by raising my hand.,20
Respectful,Communication & Discussion,Treating people in a kind and thoughtful way,kind considerate,K,medium,A respectful student listens to others.,20
Responsible,Progress & Learning,Doing what you are supposed to do,dependable trusted,K,medium,A responsible helper puts the toys away.,20
Prepare,Instructional Language,To get ready before doing something,get ready plan,K,medium,We prepare our backpacks before school.,21
Directions,Instructional Language,Words that tell you what to do,instructions steps,K,medium,The directions tell us where to draw.,21
Instructions,Instructional Language,Steps that tell you how to do something,directions steps,K,medium,Read the instructions before using the glue.,21
Complete,Instructional Language,To finish all parts of a task,finish done,K,medium,I complete the puzzle before snack time.,21
Check,Instructional Language,To look again to make sure something is right,review inspect,K,medium,Check your name before you turn in the paper.,21
Correct,Instructional Language,To fix something that is wrong,fix repair,K,medium,I correct the backwards letter.,21
Select,Instructional Language,To choose one from a group,choose pick,K,medium,Select one crayon from the box.,21
Arrange,Instructional Language,To put things in a certain order,organize order,1,medium,Arrange the cards from smallest to biggest.,21
Locate,Instructional Language,To find where something is,find place,1,medium,Can you locate the red square on the map.,21
Observe,Learning & Research,To watch carefully and notice details,notice watch,K,medium,We observe the caterpillar on the leaf.,21
Confused,Feelings & Emotions,Not understanding what is happening or what to do,puzzled unsure,K,medium,I felt confused when the rules changed.,22
Embarrassed,Feelings & Emotions,Feeling uncomfortable because people noticed something you did,awkward shy,K,medium,Ben felt embarrassed after spilling juice.,22
Jealous,Feelings & Emotions,Feeling upset because someone else has something you want,envious wanting,K,medium,I felt jealous of my sister's new bike.,22
Relieved,Feelings & Emotions,Feeling better after worry or trouble is over,comforted calm,K,medium,We felt relieved when the lost dog came home.,22
Content,Feelings & Emotions,Feeling calm and satisfied,satisfied peaceful,K,medium,The baby looked content after lunch.,22
Comfortable,Feelings & Emotions,Feeling okay in your body or feelings,relaxed at ease,K,medium,This chair is comfortable for reading.,22
Uncomfortable,Feelings & Emotions,Not feeling okay in your body or feelings,uneasy awkward,K,medium,Wet socks feel uncomfortable on my feet.,22
Safe,Feelings & Emotions,Protected from danger or harm,protected secure,K,medium,The classroom feels safe and friendly.,22
Unsafe,Feelings & Emotions,Not safe and possibly dangerous,dangerous risky,K,medium,An unsafe ladder should not be used.,22
Sensitive,Feelings & Emotions,Easily affected by feelings sounds touch or words,delicate aware,1,hard,A sensitive ear may hear very soft sounds.,22
Permission,Communication & Discussion,Being allowed to do something,allowed approval,K,medium,We need permission before leaving the room.,23
Signal,Communication & Discussion,A sound or action that tells someone something,sign clue,K,medium,The bell is a signal to line up.,23
Decide,Thinking & Reasoning,To choose after thinking,choose determine,K,medium,I decide which book to read first.,23
Prefer,Thinking & Reasoning,To like one choice more than another,like better choose,K,medium,I prefer apples more than grapes.,23
Avoid,Thinking & Reasoning,To stay away from something,keep away prevent,K,medium,We avoid puddles in our new shoes.,23
Fair,Thinking & Reasoning,Treating people in a right and equal way,just equal,K,medium,A fair game gives everyone a turn.,23
Choice,Thinking & Reasoning,One thing you can pick,option selection,K,medium,My choice is the green marker.,23
Possible,Thinking & Reasoning,Able to happen or be done,can happen,1,medium,It is possible to finish before lunch.,23
Impossible,Thinking & Reasoning,Not able to happen or be done,cannot happen,1,medium,It is impossible to count every star.,23
Unsure,Thinking & Reasoning,Not certain or not knowing yet,uncertain not sure,K,medium,I am unsure which answer is correct.,23
Before,Sequence Words,Happening earlier than something else,earlier prior,K,medium,Wash your hands before snack.,24
